LINE,YPP,PN,GNPP,SSR,GWe,HD,PH,PL,GL,GWi
Z724,131.12,27,172.44,0.95,30.5,89,102,24.84,8.367,2.924
Z725,62.2,18,154.61,0.83,27.67,81,83,23.54,9.025,2.444
Z726,30.41,9,124.22,0.89,32.23,89,98.3,22.7,9.697,2.627
Z727,35.24,9,139.56,0.95,30.57,89,100,20.34,9.714,2.546
Z728,34.53,11,133.18,0.83,29.33,95,99.3,24.34,9.865,2.53
Z729,36.72,14,111.64,0.82,28.97,80,85.3,23.06,9.304,2.538
Z730,46.92,10,173.8,0.86,32.3,82,88.7,22.62,9.239,2.849
Z731,40.86,10,164.6,0.83,32.4,86,98.3,24.14,10.082,2.608
Z732,29.06,10,135.6,0.7,31.75,88,100.7,24.8,10.104,2.597
Z733,26.08,9,101.56,0.89,33.73,90,99.7,23.3,10.012,2.711
Z734,45.71,12,138.75,0.85,33.55,88,94.7,26.72,9.953,2.833
Z735,28.25,8,148.75,0.88,28.25,81,84,24,9.381,2.496
Z736,36.4,11,137.36,0.81,31.5,89,99,21.78,9.942,2.499
Z737,29.69,11,129.09,0.82,27.72,81,82.7,23.28,9.336,2.425
Z738,36.53,9,171.78,0.85,28.88,89,102,23.2,9.198,2.624
Z739,39.86,9,168.44,0.98,29.08,90,104.3,26.62,9.282,2.569
Z740,33.39,9,115.89,0.92,35.85,90,94.3,22.2,9.337,2.932
Z741,27.25,8,120.88,0.91,32.17,95,96.3,22.2,10.166,2.495
Z742,23.89,7,118.57,0.91,32.05,87,100.7,23.18,9.879,2.519
Z743,24.36,9,103.44,0.85,32.7,85,87,21.26,9.563,2.704
Z744,34.73,8,142.75,0.95,32.47,89,100.7,22.72,9.892,2.591
Z745,25.89,7,179.57,0.71,30.95,85,85.7,22.96,9.461,2.572
Z746,37.93,11,119.18,0.91,32.68,88,99.7,23.1,9.68,2.635
Z747,23.02,7,163.14,0.65,32.38,85,90.7,22.84,9.388,2.756
Z748,39.14,10,184.3,0.95,28.55,84,83,22.2,8.339,2.835
Z750,42,10,160.4,0.94,28.73,97,98.7,25.46,8.362,2.961
Z751,45.03,17,136.76,0.83,24.68,79,71.3,20.56,7.985,2.574
Z753,33.96,9,131.56,0.88,34.2,97,104,23.5,8.896,2.971
Z754,30.92,9,144.11,0.86,29.48,98,107.3,22.48,8.142,2.92
Z756,22.77,7,139.71,0.91,26.02,87,76,21.32,7.945,2.71
Z757,25.58,7,151,0.95,26.1,88,80.3,20.56,7.709,2.817
Z758,22.83,6,163.83,0.78,31.23,101,98.3,26.04,10.039,2.517
Z759,38.83,9,158.33,0.93,32.02,96,92.3,19.44,8.672,2.813
Z760,37.64,13,131.85,0.8,29.6,95,94.3,20.88,8.846,2.767
Z761,69.72,16,148.25,0.92,33.53,91,104,22.82,9.638,2.732
Z762,16.8,8,100.38,0.87,25.93,96,96.7,20.12,9.279,2.455
Z763,31.31,9,128.33,0.87,33.48,97,105.7,24.92,8.313,3.175
Z764,42.7,12,149.83,0.89,28.83,97,106.3,21.32,8.028,2.911
Z765,32.85,7,153.71,0.95,33.9,87,93.7,20.96,9.771,2.635
Z766,47.84,12,133.5,0.92,33.62,85,95.7,21.08,9.781,2.629
Z767,37.32,11,133.73,0.93,28.33,89,93,17.5,8.297,2.412
Z768,45.53,12,171.17,0.91,26.55,85,82.3,19.5,9.002,2.501
Z769,46.22,15,132.6,0.86,29.15,92,93,21.36,9.16,2.582
Z770,29.99,7,190.86,0.9,25.35,85,82.3,20.24,7.851,2.569
Z771,25.72,8,145.75,0.78,29.55,84,92,19.9,9.214,2.606
Z772,39.6,7,241.29,0.94,25.83,87,94.7,23.18,8.079,2.628
Z773,30.92,9,139.67,0.83,31.33,88,90.3,22.64,9.86,2.647
Z774,34.4,6,186.17,0.92,34.53,89,101.3,22.4,9.223,2.853
Z775,34.27,9,146.33,0.92,30.02,89,99,24.62,9.857,2.508
Z776,43.53,10,159.2,0.92,31.53,87,102.3,22.76,9.798,2.599
Z777,35.63,9,132.11,0.95,33.03,88,92,22.34,9.068,2.848
Z778,27.37,11,89.09,0.94,30.63,83,85.7,19.5,9.665,2.596
Z779,22.29,9,105.44,0.79,31.48,83,85.3,22.36,9.331,2.788
Z780,41.34,9,159.11,0.91,33.47,88,92.3,24.6,9.315,2.73
Z781,23.15,7,144.29,0.76,31.36,88,95.3,23.54,8.221,3.08
Z782,34.73,12,116.17,0.85,31.88,96,93.7,24.28,9.659,2.57
Z783,29.36,10,115.5,0.85,31.82,83,97.7,22.9,9.564,2.767
Z784,36.84,10,125.5,0.94,32.13,95,99.7,23.06,8.378,3.055
Z785,38.38,9,162.11,0.92,29.9,90,96.3,25.92,8.201,2.951
Z786,49.32,16,119.88,0.78,34.68,95,106.7,22.88,9.642,2.935
Z787,35.79,9,135.44,0.91,32.73,93,97,23.18,9.051,2.761
Z788,41.28,8,215.13,0.76,32.98,89,103,23.2,8.198,3.213
Z789,35.92,9,154.11,0.82,32.98,88,96.3,24.7,8.256,3.233
Z790,36.59,9,144.22,0.98,30.12,94,96.3,22.28,8.335,2.933
Z791,26.38,6,152.83,0.92,32.2,98,102.3,23.1,10.222,2.834
Z792,35.84,10,137.5,0.84,33.83,91,97.3,21.9,8.412,3.166
Z793,28.89,7,131.57,0.95,34.67,89,100,24.76,8.379,3.243
Z794,27.66,12,82,0.87,33.87,89,89.7,19.76,9.666,2.78
Z795,40.75,9,166.33,0.92,31.1,88,89.3,23.54,8.37,2.989
Z796,27.82,9,105.78,0.93,32.5,89,89,22.22,9.198,2.791
Z797,28.21,8,147.75,0.83,30.18,87,93,23,8.346,2.961
Z798,35.64,9,143.78,0.96,29.38,82,90.7,24.32,8.936,2.663
Z799,38.71,11,126.55,0.9,32.6,90,93.7,22.76,9.176,2.827
Z800,48.57,12,138.17,0.93,32.72,82,94.3,24.7,8.896,2.909
Z802,27.39,8,109,0.91,36.2,84,94.7,24.2,9.731,2.867
Z803,22.85,7,112.43,0.87,34,89,86.7,19.45,9.59,2.812
Z804,27.81,8,108.5,0.9,36.43,85,87.7,24.3,9.849,2.888
Z805,37.44,9,141.11,0.87,36.35,90,102,21.02,9.488,3.079
Z806,30.93,7,155.71,0.86,36.05,88,104.7,21.66,9.396,3.028
Z807,28.58,10,120.5,0.81,31.43,82,82.3,21.9,9.868,2.621
Z808,25.9,8,118.25,0.85,34.43,95,99,22.66,9.965,2.711
Z809,49.93,12,163.83,0.82,32.25,89,88,21.44,9.899,2.646
Z810,30.71,8,134,0.95,31.92,89,99,25.12,8.816,2.829
Z811,33.53,10,119.4,0.85,34.68,94,98,23.66,9.831,2.661
Z812,28.15,9,103.33,0.86,36.78,88,96.7,23.06,9.921,2.831
Z813,27.56,9,129.22,0.82,31.38,99,95,23.66,8.71,2.887
Z814,48.74,11,146.36,0.97,33.07,89,102.7,26.16,9.884,2.582
Z815,42.6,13,116.31,0.89,33.2,89,98.7,21.9,10.179,2.59
Z816,31.14,7,178.43,0.83,33.72,94,106,25.4,8.291,3.26
Z817,43.58,9,175.67,0.89,33,82,89.3,21.7,9.378,2.79
Z818,34.64,8,144.88,0.91,34.37,96,104.7,23.5,8.432,3.152
Z819,44.16,12,128.08,0.94,31.97,94,97.7,26.26,8.817,2.784
Z820,47.8,10,162.2,0.96,32.07,96,104.3,23.66,8.438,2.945
Z821,31.95,7,160.57,0.95,32.63,92,103,23.56,8.355,3.151
Z822,39.56,15,129.33,0.84,27.22,83,87,22.88,8.161,2.767
Z823,44.55,14,158.14,0.8,26.4,82,83,23.74,8.121,2.761
Z824,33.16,10,129.3,0.89,29.63,90,95.7,23.44,8.94,2.747
Z825,44.43,10,170.7,0.95,29.05,88,91,24.46,8.288,2.952
Z826,37.04,11,121.64,0.91,32.63,88,92,20.72,7.918,3.157
Z827,37.97,13,161.23,0.69,27.47,82,83.7,22.6,8.756,2.5
Z828,61.66,15,174.13,0.89,28.27,78,85.3,25.68,9.397,2.393
Z829,37.56,13,119.85,0.92,27.77,90,86.7,23.66,8.994,2.558
Z830,48.68,11,164.36,0.92,29.53,89,96.7,24.68,8.318,2.915
Z831,31.58,9,124.44,0.92,31.62,97,92.3,23.44,9.688,2.613
Z832,39.91,12,110.58,0.89,34.58,96,95,22.24,8.709,3.032
Z833,32.44,10,109.7,0.94,32.28,93,96,22.88,9.029,2.877
Z834,25.51,11,107.91,0.7,32.88,83,86.7,22.82,9.973,2.686
Z835,60.56,10,229.2,0.88,30.93,88,100,22.28,9.502,2.688
Z836,39.21,11,152.27,0.92,27.55,80,88,25.28,8.225,2.777
Z837,44.74,12,181.33,0.78,28.2,88,93.3,23.78,9.516,2.427
Z838,36.76,9,146.11,0.87,33.58,89,98,23.68,9.905,2.714
Z839,30.5,8,143.5,0.86,33.42,94,100,24.22,9.62,2.667
Z840,36.91,8,152.13,0.92,33.42,89,95,20.74,9.188,2.764
Z841,41.93,13,127.15,0.82,33.4,83,89.3,23.72,9.536,2.684
Z842,29.59,8,129.5,0.95,33.38,94,97.7,23.98,8.729,2.902
Z843,41.26,16,101.25,0.87,30.02,78,79.7,23.64,9.4,2.486
Z844,43.69,14,136.43,0.83,30.03,82,89,22.74,9.017,2.691
Z845,29.16,10,110.9,0.85,33.2,93,103,20.86,8.233,3.073
Z846,39.89,14,112.36,0.82,32.83,81,89.3,22.5,9.641,2.703
Z847,38.69,11,129.73,0.94,30.32,88,97.3,24.68,9.659,2.56
Z848,42.89,11,153.73,0.9,30.07,82,94.3,22.34,9.547,2.488
Z849,38.37,10,140.4,0.93,30.77,90,95.7,21.28,8.337,2.963
Z850,49.36,11,142.27,0.9,36.4,91,98.3,22.3,9.248,2.907
Z851,48.95,13,137.85,0.92,31.25,90,106,22.46,8.251,2.938
Z852,39.95,10,143.7,0.87,34.45,91,108.3,24.06,9.166,2.858
Z853,39.68,11,125.91,0.9,33.8,90,103.3,24.68,9.232,2.822
Z854,34.91,11,131.45,0.91,27.75,96,106.3,22.72,7.996,2.84
Z855,30.72,8,143.88,0.94,29.47,85,96,23,7.928,2.947
Z856,35.03,9,130,0.94,33.37,90,107.7,23.48,8.361,2.979
Z857,28.84,9,135.22,0.92,27.93,86,92,20.38,7.914,2.905
Z858,38.09,10,136.8,0.88,32.8,89,100.3,22.44,9.588,2.655
Z859,51.21,13,141.69,0.85,33.7,88,98.3,23.46,9.616,2.723
Z860,41.57,8,182.38,0.96,31.15,96,103.3,24.76,8.283,2.964
Z861,30.4,9,142.22,0.72,34.85,83,89.3,22.66,9.629,2.918
Z862,34.16,14,121.5,0.67,31.68,83,95.7,20.28,9.331,2.722
Z863,43.51,8,185.88,0.91,34.92,87,96.7,22.16,9.679,2.782
Z864,42.5,15,105,0.92,30.33,83,96,23.66,8.42,2.83
Z865,45.63,14,163,0.75,28.08,82,101.3,23.88,8.275,2.723
Z866,43.88,13,147.08,0.87,28.15,88,108.3,24.02,8.506,2.782
Z867,65.18,20,145.75,0.85,28.02,89,96,22.48,8.385,2.702
Z868,53.28,16,131,0.85,32.18,92,97.3,23.52,9.636,2.693
Z869,44.49,13,124.23,0.85,34.3,83,94,21.1,9.368,2.868
Z870,59.72,16,129.38,0.9,32.58,85,96,23.06,9.317,2.783
Z871,51.68,18,120.56,0.82,31.25,83,84.3,21.76,9.428,2.61
Z872,37.23,12,112.83,0.84,34.03,85,94.3,21.76,9.628,2.77
Z873,62.54,13,166,0.98,31.15,88,97.7,23.24,9.635,2.531
Z874,35.62,13,102.23,0.83,33.93,83,87,22.4,9.785,2.723
Z875,35.6,9,133.78,0.97,32,89,90,20.56,8.855,2.799
Z876,38.41,7,168.71,0.95,35.07,88,92.7,22.56,9.651,2.772
Z877,49.58,11,162.64,0.95,33.03,93,99.7,21.9,9.814,2.674
Z878,52.89,10,174.6,0.95,33.98,86,90,22.7,9.134,2.962
Z879,47.64,8,204.25,0.93,32.4,91,104,22.84,8.357,3.044
Z880,54.5,14,125.29,0.97,32.82,85,90.3,22.4,9.362,2.708
Z881,50.7,15,116.47,0.94,32.17,87,97,22.68,9.485,2.609
Z882,40.15,10,124.7,0.92,36.15,83,97.7,23.22,9.483,2.926
Z883,56.04,12,184.75,0.83,33.72,90,109.7,22.08,9.442,2.738
Z884,40.73,9,155.33,0.88,34.45,89,100,25.02,10.019,2.716
Z885,43.77,12,133.17,0.87,33.27,91,93.3,26.88,9.967,2.619
Z886,50.98,12,159.17,0.92,29.95,90,105.3,22.86,8.537,2.758
Z887,38.81,14,121.5,0.74,31.95,87,96,19.92,8.201,3.092
Z889,50.25,13,165.92,0.88,28.85,82,89.3,24.04,7.953,3.078
Z890,42.68,14,123,0.92,27.93,72,80.3,20.8,8.736,2.549
Z891,52.46,12,154.83,0.94,33.68,95,100,25.3,9.869,2.671
Z892,48.67,13,149,0.88,29.95,74,85.7,21.64,9.074,2.479
Z893,54.15,18,137.61,0.89,25.42,81,83.3,21.1,8.787,2.388
Z894,56.59,18,137.22,0.82,31.4,82,85.3,22.52,9.552,2.565
Z895,51.32,14,178.14,0.84,27.4,95,92.3,21.48,9.004,2.521
Z896,29.79,9,148.89,0.86,27.77,78,76.3,21.22,8.879,2.522
Z897,41.66,13,139.46,0.9,27.92,82,83,23.62,9.023,2.529
Z898,38.19,12,122.83,0.9,30.22,82,79,21.48,8.818,2.641
Z899,59.16,19,126.42,0.87,30.55,73,81,20.66,9.101,2.573
Z900,37.87,12,142.5,0.86,26.75,81,75.3,22.32,8.759,2.519
Z901,25.82,8,130.75,0.92,27.72,74,78.7,23.22,8.949,2.535
Z902,36.87,9,157.33,0.94,29.17,83,86.7,23.46,9.383,2.547
Z903,30.93,12,105.75,0.84,29.53,83,78.7,20.74,9.258,2.601
Z904,50,13,168.46,0.79,30.15,81,85,26.06,9.452,2.6
Z905,62.87,14,177.93,0.9,30.2,88,93.7,23.82,9.502,2.452
Z906,25.05,9,144,0.8,26.53,85,95.7,23.18,9.488,2.563
Z907,42.64,13,148.15,0.8,28.85,81,79.3,24.36,9.517,2.487
Z908,31.26,8,162.25,0.94,33.92,85,98,22.98,10.116,2.591
Z909,40.57,13,123.38,0.85,30.1,71,80,21.78,9.073,2.529
Z910,38.27,12,123.17,0.92,28.88,74,84.7,23.34,9.557,2.483
Z911,32.16,11,105.18,0.95,30.12,95,97.7,23.36,8.362,2.869
Z912,39.83,11,138.73,0.87,31.73,97,98,21.3,9.708,2.691
Z913,35.16,12,111,0.9,30.9,96,88.7,19.6,9.328,2.719
Z914,35.22,13,123,0.88,27.52,91,84,19.26,9.15,2.484
Z915,49.04,15,131.13,0.94,27.53,73,81.3,21.88,8.703,2.496
Z916,29.93,8,169.63,0.8,29.02,101,97.7,21.52,9.274,2.601
Z917,38.5,11,135.18,0.89,30.82,72,79.7,22.9,9.476,2.655
Z918,27.3,9,141.67,0.81,28.05,81,81.3,22.32,9.061,2.533
Z919,35.77,9,168.11,0.93,26.62,77,79.3,22.7,9.012,2.47
Z920,31.24,9,134.44,0.95,27.68,80,79,23.44,9.235,2.537
Z921,40.35,9,175,0.93,28.85,94,95.3,20.48,8.916,2.467
Z923,53.74,12,182.08,0.86,30.23,99,104.7,26.5,9.234,2.673
Z924,40.1,14,126.29,0.85,30.5,97,93.7,22.36,9.378,2.63
Z925,25.38,11,104.27,0.82,29.08,102,99,21.72,9.51,2.666
Z926,22.98,7,118.14,0.97,29.63,80,80,19.62,9.153,2.547
Z927,33.07,11,110.36,0.95,29,75,78,22.08,9.22,2.479
Z928,34.97,13,112.38,0.94,26.45,73,78,21.1,9.032,2.444
Z929,35.4,11,122.91,0.89,29.6,80,82,22.16,9.303,2.682
Z930,41.29,13,129.54,0.92,27.17,79,72,23.12,8.979,2.54
Z931,35.98,9,135.89,0.89,34.83,97,104.7,24.86,9.498,2.784
Z932,32.04,11,127.36,0.91,27.57,73,72,20.1,9.163,2.495
Z933,41.21,10,153.4,0.89,32.35,90,93,23.86,9.605,2.679
Z934,39.02,13,139.92,0.71,30.28,81,68.7,23.24,9.8,2.551
Z935,29.04,10,175.1,0.79,28.47,88,85,22.22,9.57,2.493
Z936,28.41,9,122.78,0.95,27.7,74,79.3,19.3,8.743,2.424
Z937,38.46,11,141.55,0.97,26.73,96,95.7,23.08,8.829,2.491
Z938,33.2,8,182,0.86,27.35,72,78.3,21.68,8.86,2.589
Z939,34.48,9,137.33,0.94,31.42,74,77,22.06,9.667,2.591
Z940,30.08,8,177,0.89,24.4,81,76.3,22.76,8.9,2.408
Z941,30.92,8,171.38,0.91,27.73,94,103.7,23.22,9.007,2.492
Z942,31.73,10,135.1,0.79,31.73,104,100.3,26.24,9.862,2.63
Z943,29.16,9,139.33,0.86,28.43,96,98,22.74,9.114,2.536
Z944,28.07,10,117.5,0.84,29.48,91,85,19.26,9.034,2.572
Z945,36.85,9,133.89,0.96,33.7,91,94,23.38,9.933,2.631
Z946,25.82,9,106.78,0.97,29.07,78,75,20.8,9.429,2.517
Z947,40.3,10,141.1,0.99,30.03,72,72.7,20.78,8.319,2.858
Z948,29.76,9,137.22,0.95,26.58,80,76.3,21.96,8.813,2.478
Z949,36.06,12,157.5,0.71,28.85,97,100.3,23.42,8.552,2.743
Z950,40.95,14,113.14,0.84,33.05,97,104,25.82,9.812,2.728
Z951,47.99,11,183.36,0.84,30.35,92,102.7,23.3,9.508,2.553
Z952,45.13,17,109.47,0.9,28.22,78,76.3,23.18,8.973,2.566
Z953,16.94,5,171.8,0.74,28.73,104,111,26.17,9.41,2.757
Z954,34.04,11,126,0.9,29.07,84,96,22,9.108,2.585
Z955,29.57,8,135.38,0.93,32.58,82,97,24.42,9.544,2.689
Z956,33.79,6,167.33,0.97,36.35,94,96.3,23.54,9.274,2.858
Z957,40.18,10,150.8,0.92,32.3,92,96.3,20.12,9.317,2.673
Z958,46.81,16,115.25,0.97,27.72,71,72.3,21.06,9.204,2.516
Z959,39.72,11,130.09,0.95,30.17,70,75.7,22.54,9.379,2.616
Z960,27.79,9,124.56,0.92,27.87,75,74.3,22.08,8.736,2.517
Z961,29.53,10,128.2,0.89,27.9,97,90.3,22.26,9.125,2.497
Z962,31.94,11,105.82,0.96,29.12,70,83,20.12,9.149,2.625
Z963,31.67,10,130.8,0.91,28.33,80,73,20.72,8.992,2.62
Z964,37.18,11,124,0.93,31.23,75,88,21.84,9.815,2.545
Z965,28.81,10,131.6,0.82,27.05,77,84,22.66,9.218,2.475
Z966,48.91,12,197.17,0.82,26.53,89,88.3,23.3,8.702,2.638
Z967,34.94,10,122.1,0.93,32.27,70,81.3,20.96,9.476,2.613
Z968,42.73,13,140.46,0.91,27.07,78,83,22.92,9.028,2.517
Z969,13.91,46,91.63,0.13,25.55,80,74,24.16,9.727,2.293
Z970,30.64,44,132.66,0.21,26.57,80,60.3,21.44,8.943,2.556
Z971,16.66,22,142.32,0.22,25.76,80,62,22.86,8.645,2.563
Z972,46.5,15,128.93,0.84,29.25,73,74.3,21.44,9.192,2.495
Z973,37.19,13,117.92,0.95,27.9,90,83.7,19.94,8.851,2.531
Z974,49.57,18,124.33,0.84,28.33,84,84.3,20.82,9.076,2.407
Z975,40.56,11,166.09,0.95,24.47,81,81,21.52,8.036,2.631
Z976,38,11,161,0.82,26.43,78,83.3,22.7,8.861,2.519
Z977,42.17,13,123.69,0.89,31.12,72,76.7,22.18,9.343,2.644
Z978,39.82,12,116.17,0.91,33.43,88,93,22.2,9.593,2.653
Z979,40.73,12,136.92,0.85,29.65,84,89.3,22.04,9.722,2.498
Z980,25.76,7,159.14,0.88,26.7,83,86,21.74,9.533,2.458
Z981,29.24,9,127.89,0.95,27.2,73,83.3,19.92,8.773,2.482
Z982,35.33,14,99.07,0.96,28.08,72,78,19.9,8.744,2.556
Z983,32.22,9,147.56,0.88,29.08,90,94.7,22.1,9.366,2.585
Z984,32.35,10,128.2,0.91,28.27,74,77.7,21.32,8.896,2.608
Z985,52.05,14,140.07,0.93,30.78,89,95.7,21.84,8.93,2.639
Z986,51.02,13,164.08,0.92,31.82,91,96.7,22.58,9.153,2.726
Z987,52.81,15,162,0.85,28.07,95,89,19.78,9.009,2.508
Z988,27.87,9,135.89,0.8,30.15,100,107.7,22.84,10.236,2.524
Z989,30.58,12,118.33,0.68,31.8,85,83.7,21.06,9.264,2.708
Z990,24.93,7,147.29,0.86,30.3,98,96.7,23.55,8.57,2.911
Z991,40.96,8,215.13,0.88,29.27,100,104.7,25.18,8.377,2.837
Z992,13.87,7,96,0.81,27.43,64,80.7,21.54,7.675,2.999
Z993,38.93,10,160.2,0.84,30.92,101,113.3,24.76,8.75,2.881
Z994,49.6,15,133.2,0.85,32.47,92,86.3,19.52,9.358,2.649
Z995,40.22,9,157.89,0.94,30.53,96,106,24.08,8.277,2.903
Z996,21.31,10,99.5,0.86,25.88,81,73,19.3,7.171,3.024
Z997,61.96,16,188.38,0.83,26.72,82,92,22.62,8.714,2.495
Z998,29.42,10,144.5,0.82,25.9,71,84,23.52,7.125,2.95
Z999,39.62,10,172.2,0.86,28.95,79,75.3,23.3,8.96,2.572
Z1000,33.72,9,130.33,0.93,32.53,96,97,21.38,9.291,2.702
Z1001,37.65,9,168.44,0.95,27.2,90,97,19.54,7.503,2.84
Z1002,46.67,13,120.92,0.95,33.15,91,94,21.68,9.327,2.672
Z1003,50.07,15,118.13,0.95,32.22,85,90.7,19.9,9.583,2.613
Z1004,39.33,11,143.82,0.91,28.38,79,84.7,24.18,9.156,2.444
Z1005,38.65,8,150.13,0.97,34.68,88,92,21.42,9.366,2.809
Z1006,33.13,8,139.13,0.91,34.8,91,105.7,21.7,9.401,2.871
Z1007,43.62,13,153.31,0.89,25.7,81,77.7,20.92,8.57,2.446
Z1008,46.21,18,170.89,0.85,25.48,80,81,21.84,7.125,3.03
Z1009,47.32,10,188.4,0.97,26.53,87,94,20.72,7.476,2.94
Z1010,42.52,10,167.8,0.86,31.98,87,100,20.84,9.422,2.798
Z1011,28.79,10,136.4,0.64,33.88,94,98,20.54,9.427,2.792
Z1012,37.13,9,213.33,0.71,29.7,95,112.3,23.52,9.417,2.686
Z1013,49.66,10,207.8,0.89,29.82,89,101.7,21.3,9.005,2.648
Z1014,54.08,13,156.54,0.93,29.87,93,102.7,22.12,8.332,2.86
Z1015,52.66,14,141.64,0.88,31.07,83,87.3,26,9.255,2.741
Z1016,54.23,14,128.86,0.89,37.07,94,102.3,23.02,9.864,2.908
Z1017,31.51,7,148,0.9,35.63,100,105.3,23.48,9.844,2.754
Z1018,33.31,10,131.3,0.88,29.02,74,76.7,21.1,9.288,2.483
Z1019,41.92,10,179.8,0.9,27.35,73,84.7,22.9,9.178,2.457
Z1020,55.83,15,135.53,0.91,30.95,75,92,23,9.578,2.548
Z1021,48.83,19,110.42,0.9,27.43,83,77,22.08,8.644,2.541
Z1022,39.07,14,127.86,0.83,28.4,77,77,24.12,9.264,2.484
Z1023,30.73,10,116.5,0.93,29.5,76,75.3,20.16,8.822,2.545
Z1024,41.06,12,152.5,0.94,25.17,81,87,23.82,8.602,2.531
Z1025,46.87,14,150.71,0.93,25.95,82,89.7,24.52,8.671,2.515
Z1026,44.94,15,97.33,0.88,37.43,91,94.7,24.3,10.205,2.879
Z1027,35.66,10,129.7,0.96,29.5,88,89,21.32,8.042,2.955
Z1028,45.4,16,114.13,0.85,30.27,75,76,20.42,9.117,2.589
Z1029,30.44,16,116.13,0.66,25.75,79,69,23.92,9.001,2.2
Z1030,44.93,13,142.69,0.92,27.82,79,85,22.9,9.516,2.391
Z1031,41.6,11,147.91,0.86,31.22,73,75.3,22.12,9.451,2.63
Z1032,48.34,14,133.86,0.9,29.23,96,99.3,23.28,8.495,2.881
Z1033,49.08,19,154.05,0.65,26.55,81,85.3,23.42,7.998,2.727
Z1034,55.12,16,138.63,0.84,30.53,70,75.3,20.96,8.508,2.838
Z1035,20.13,11,103.91,0.58,30.83,78,75,21.62,9.374,2.586
Z1036,47.39,14,148.14,0.88,27.87,82,78.3,21.78,8.346,2.651
Z1037,42.83,11,192.64,0.89,25.32,89,89,20.36,8.655,2.422
Z1038,43.3,15,127,0.65,35.15,92,94.3,20.3,9.607,2.797
Z1039,47.79,10,197.8,0.93,27.82,83,91.3,22.48,8.135,2.854
Z1040,53.73,12,169.58,0.94,29.17,87,88,21.76,8.922,2.692
Z1041,31.16,14,129.57,0.67,26.43,72,72,21.76,9.245,2.362
Z1042,37.46,16,125.94,0.71,26.73,80,73.7,22.46,9.257,2.312
Z1043,31.27,13,121.54,0.86,24.4,78,79,21.86,8.072,2.585
Z1044,32.9,10,116.2,0.93,31.63,74,81.3,21.62,9.37,2.633
Z1045,38.15,13,130.46,0.88,27.03,78,81.3,22.34,9.169,2.452
Z1046,52.99,13,169.92,0.93,27.62,88,86,19.86,8.82,2.511
Z1047,26.47,11,118.18,0.81,26.88,81,73.3,20,8.861,2.45
Z1048,43.89,12,171.08,0.89,24.85,81,76,19.02,8.032,2.485
Z1049,30.62,12,120,0.86,26.35,80,77.3,18.4,8.699,2.494
Z1050,38.69,10,140.5,0.96,29.15,91,98.3,22.14,7.969,2.907
Z1051,38.75,15,112.13,0.88,28.28,80,73.7,18.82,9.032,2.502
Z1052,38.63,14,128.36,0.85,27.62,81,78,19.02,8.807,2.556
Z1053,29.54,13,104.92,0.83,27.42,80,78,21.06,9.072,2.398
Z1054,41.54,11,179.82,0.86,25.8,82,78,20.16,8.865,2.374
Z1055,26.13,9,112.11,0.92,28.6,81,76.3,20.42,8.249,2.766
Z1056,67.58,18,135.56,0.92,30.55,73,82.7,22.14,9.372,2.578
Z1057,42.3,14,103.07,0.95,33.38,75,76,20.6,9.497,2.877
Z1058,37.71,13,128.62,0.87,27.42,81,75.7,19.86,8.939,2.537
Z1059,42.42,15,111.87,0.89,29.63,75,76.7,20.74,9.604,2.489
Z1060,35.16,16,97.19,0.87,28.1,80,74.7,21.62,9.461,2.526
Z1061,41.06,10,152.7,0.92,31.43,90,91.3,23.74,9.8,2.56
Z1062,54.46,14,163.29,0.88,28.38,91,94.3,25.48,8.083,2.814
Z1063,41.73,9,151.89,0.95,32.58,96,103.7,22.08,8.407,2.942
Z1064,42.16,11,162,0.9,28.43,77,79,22.76,9.245,2.589
Z1065,44.76,12,136.08,0.93,30.93,77,83.3,22.3,9.474,2.671
Z1066,39.57,13,119.38,0.93,29.35,84,82.7,21.9,9.471,2.52
Z1067,27.83,11,156.45,0.61,27.18,75,76.3,22.8,9.457,2.489
Z1068,50.84,9,195.22,0.93,33.37,87,99.7,23.94,9.192,2.846
Z1069,25.17,11,98.09,0.85,28.87,95,94.3,21.54,9.1,2.624
Z1070,31.32,9,131.44,0.87,30.6,89,96,20.38,9.018,2.621
Z1071,35.45,13,124.62,0.84,27.53,77,77,21.5,8.912,2.542
Z1072,43.8,14,135.64,0.92,26.37,93,100.3,23.08,7.863,2.773
Z1073,47.29,14,141.64,0.95,26.23,90,102.3,21.72,7.883,2.832
Z1074,47.88,12,175.83,0.86,27.62,77,82.7,22.72,9.061,2.508
Z1075,25.99,10,99.1,0.92,29.17,71,81,20.66,9.285,2.498
Z1076,26.79,9,125.33,0.88,28.22,77,74.7,19.18,9.03,2.551
Z1077,31.66,9,157,0.86,27.68,71,75.3,21.56,8.904,2.539
Z1078,45.23,13,130.54,0.94,30.13,75,77,22.54,9.199,2.607
Z1079,33.96,9,161.78,0.94,27.37,101,102.3,23.82,8.135,2.849
Z1080,39.11,14,97.71,0.87,33.55,89,89.7,20.72,9.399,2.862
Z1081,34.89,14,97.21,0.74,35.52,89,89,22.02,9.998,2.751
Z1082,37.58,11,126.09,0.94,30.12,81,81.7,21.08,8.827,2.795
Z1083,33.38,12,91.58,0.94,33.83,84,77,18.82,9.383,2.709
Z1084,40.19,8,167,0.97,31.35,82,86,22.72,9.341,2.594
