LINE,YPP,PN,GNPP,SSR,GWe,FLL,HD,PH,PL,GL,GWi,FLW
Z90,51.52,15,134.9,0.89,30.37,46.5,78,117.3,27.1,9.5,2.9,2
Z91,68.31,17,221.8,0.81,23.42,39.67,78,120,27.96,9.19,2.49,2
Z92,46.56,15,233.7,0.6,22.7,41.67,84,122.7,26.94,8.99,2.46,2.2
Z93,48.07,17,197.3,0.7,21.82,34,77,116.7,25.44,9.11,2.27,1.83
Z94,25.8,13,165.9,0.66,20.28,38.33,128,93.7,24.28,8.89,2.29,1.6
Z95,64,17,212.8,0.77,24.48,38.67,85,119.7,25.46,9.24,2.46,2.17
Z96,44.99,17,139.3,0.78,25.58,31.33,77,116.3,23.36,9.67,2.61,1.87
Z97,45.8,19,176.1,0.64,23.02,35,80,120,26,8.98,2.47,1.87
Z98,49.09,18,152.6,0.7,27.8,35,80,115.3,23.58,9.59,2.63,1.93
Z99,62.98,17,178.5,0.77,28.98,42.83,79,121.3,24.24,9.97,2.56,2.13
Z100,55.42,18,197.4,0.79,20.8,32.5,80,118.3,26.2,8.64,2.37,1.77
Z101,71.76,21,191,0.8,23.17,33.67,84,118,23.8,8.71,2.59,1.9
Z102,42.16,13,211.2,0.69,23.67,43.67,79,124,25.9,9.69,2.41,1.97
Z103,44.32,13,176.2,0.69,30.53,48.23,85,125.7,29.62,9.84,2.77,1.83
Z104,35.15,15,177.5,0.66,22.85,30.67,131,85.7,24.04,8.53,2.65,2.1
Z105,52.24,13,186.2,0.83,27,36.83,81,122.3,26.32,8.94,2.73,2
Z106,41.39,18,159.8,0.73,22.23,34,129,88.7,24.14,8.61,2.55,2.07
Z107,33.9,12,165.3,0.74,24.28,31.67,67,114.3,23.18,8.73,2.53,1.67
Z108,36.97,14,181.1,0.71,22.7,32.67,127,87.3,21.72,8.41,2.67,2.03
Z109,47.84,13,145.7,0.85,32.05,43.67,84,119,27.12,9.01,3.08,2.17
Z110,48.45,13,189.2,0.77,27.23,42.83,86,125,30.02,10,2.49,1.9
Z111,45.23,17,148.9,0.85,21.6,30,117,102.7,22.86,8.25,2.61,1.93
Z112,58.57,18,183.7,0.8,23.55,26,116,106.3,24.46,8.39,2.66,1.83
Z113,37.48,18,124.4,0.79,23.63,30,128,87.7,19.66,8.37,2.93,1.8
Z114,42.16,14,234.3,0.57,24.53,41.17,83,119.3,28.98,9.11,2.52,1.93
Z115,43.5,14,191.4,0.65,25.42,40,72,114.7,27.22,9.67,2.36,1.7
Z116,47.14,17,170.1,0.81,22.23,30.33,128,96.7,22.38,8.13,2.81,1.83
Z117,46.04,16,168.4,0.78,23.87,34.67,128,88.3,23.56,8.31,2.74,1.9
Z118,26.74,13,147.8,0.82,18.43,32,131,93.7,23.34,8.69,2.37,1.77
Z119,48.64,12,212.3,0.72,28.47,40.33,78,119.7,25.92,8.64,2.91,2.13
Z120,42.77,17,147.2,0.83,21.68,32.33,124,95.7,23.36,8.89,2.48,1.73
Z121,39.67,17,140.5,0.9,19.82,46,86,118.3,25.32,8.41,2.33,1.63
Z122,29.99,14,179.4,0.58,21.97,34.67,129,86,21.36,7.78,2.73,1.83
Z123,38.53,12,152.1,0.73,32.6,43,82,123,27.28,9.47,3.05,2.1
Z124,35.87,13,192.1,0.63,24.4,36.5,77,116,26.74,9.24,2.51,1.9
Z125,57.27,15,189.2,0.78,27.88,39.33,90,109,23.56,8.09,3.1,1.87
Z126,50.16,14,171.8,0.87,26.25,40.83,79,123,25.14,8.78,2.74,1.83
Z127,72.15,18,148.7,0.89,33.02,44.5,81,119.7,25.52,9.54,2.94,1.93
Z128,46.99,15,176.8,0.74,25.52,38.33,115,106.7,23.44,8.85,2.69,2.03
Z129,39.83,15,140.1,0.87,22.98,29,78,120.7,20.4,8.36,2.62,1.9
Z130,51.23,19,186.7,0.76,20.27,39,77,114.7,24.28,8.47,2.47,1.6
Z131,54.04,15,201.5,0.84,22.37,39.33,126,104,25.56,8.24,2.68,2.03
Z132,46.19,21,135.1,0.78,23.2,40.67,77,115,23.78,8.56,2.53,1.77
Z133,69.13,17,197,0.79,27.6,52.17,89,117.3,28.96,8.92,3,2.23
Z134,41.61,14,186.7,0.62,29,53.33,87,125,28.26,8.91,2.92,2.23
Z135,48.31,15,148.8,0.83,28.73,42.67,85,124.3,26.32,9.07,2.77,2.17
Z136,71.24,17,172.4,0.91,30.27,45.5,83,121.7,26.58,8.99,3.03,2.17
Z137,53.73,13,224.5,0.66,29.98,50.33,80,123.3,29.1,8.92,3.02,2.17
Z138,46.61,12,155,0.87,31.97,45.33,84,133,25,9.01,3.05,2.23
Z139,53.07,15,176.9,0.82,27.98,39.5,88,125,27.34,8.83,2.89,2
Z140,57.19,14,163.7,0.81,31.9,41.33,89,135,27.76,8.9,2.97,2
Z141,48.55,18,131.9,0.7,31.63,40.33,85,123,26.02,9.05,3.06,2
