LINE,YPP,PN,GNPP,SSR,GWe,FLL,HD,PH,PL,GL,GWi,FLW
Z603,45.34,20,127.2,0.74,25.87,35,73,109.3,26.48,9.72,2.43,1.7
Z604,46.67,13,153.5,0.88,27.18,26.33,62,110.3,24.7,9.62,2.55,1.47
Z605,27.58,12,154.5,0.6,26.15,29.33,67,102,24.46,9.82,2.52,1.37
Z606,58.85,13,214.7,0.88,25.9,50.33,80,132.3,31.16,9.9,2.44,1.7
Z607,58.19,14,200.1,0.73,31.23,53.33,84,117.7,29.6,10.5,2.58,1.73
Z608,33.46,11,186.1,0.69,25.23,26,57,99.3,27.14,9.85,2.43,1.6
Z609,62.69,16,171.3,0.79,29.65,45.33,80,115,26.9,8.85,3.02,1.93
Z610,54.64,12,180.3,0.9,30.02,45,86,119.7,28.74,8.78,3,2
Z611,50.55,17,177.3,0.71,25.02,30.67,63,95.7,27.56,9.84,2.43,1.53
Z612,43.09,15,174.2,0.78,21.83,39.33,74,114.7,26.24,8.44,2.5,1.67
Z613,40.5,12,171.1,0.82,25.8,32.33,64,100.7,26.46,9.79,2.49,1.6
Z614,31.53,12,183.4,0.66,23.48,32,63,103,25.34,8.97,2.56,1.83
Z615,52.13,14,210.8,0.77,24.33,33,77,124,26.12,9.35,2.42,1.83
Z616,57.88,15,164.4,0.89,28.45,39.67,86,123.7,28.36,10.09,2.52,2
Z618,42.09,15,173.4,0.68,25.12,41.33,78,116,25.04,9.34,2.56,7.6
Z619,57.19,15,155.3,0.91,29.28,39.33,80,112.7,26.22,9.75,2.74,1.93
Z620,60.96,13,198.2,0.95,27.27,32,97,121,25.88,8.73,2.81,1.93
Z621,44.85,18,152.4,0.67,25.5,26,63,99.3,26.08,9.81,2.52,1.57
Z622,45.73,15,131,0.85,29.02,28.33,65,98,26.12,10.32,2.58,1.63
Z623,46.27,13,175.8,0.76,27.62,34.67,95,126.3,23.32,9,2.7,2
Z625,41.09,17,111.6,0.79,29.72,29.67,67,94,23.34,9.27,2.84,1.43
Z626,40.57,13,174.9,0.64,29.18,37.67,75,117.3,28.54,10.53,2.5,1.77
Z627,34.83,13,166.7,0.75,29.5,44,86,124.3,28.26,10.07,2.61,1.83
Z628,60.73,15,180.1,0.83,30.15,42.33,79,122.3,27.6,10.28,2.59,1.8
Z629,64.41,15,195.6,0.91,26.02,40,84,132.3,25.4,8.8,2.61,1.83
Z630,34.23,13,189.5,0.56,25.87,32,90,123.3,23.5,9.05,2.61,2.17
Z631,71.24,20,196.4,0.77,24.03,43.33,77,110.7,24.64,8.86,2.56,1.9
Z632,60.41,14,254.4,0.71,25.87,36.33,84,119.7,27.32,9.49,2.45,2
Z633,47.41,12,155.3,0.96,27.62,39.67,97,124.7,25.14,8.69,2.77,1.87
Z634,50.04,14,153.5,0.88,28.1,41,78,114,26.82,9.89,2.55,1.8
Z635,32.91,13,125.5,0.82,25.97,28.33,58,88,23.94,10.08,2.45,1.33
Z636,44.26,17,120.2,0.83,29.33,37,78,99.7,24.34,9.86,2.65,1.63
Z637,55.95,19,152.1,0.75,26.1,37.67,75,108.3,27.34,9.96,2.46,1.63
Z638,40.68,9,212.8,0.82,27.85,38.67,78,113.7,27.14,9.64,2.54,1.77
Z639,47.5,13,184.2,0.81,28.67,40.33,75,104.7,23.18,9.39,2.58,1.83
Z640,64.77,14,214.9,0.86,26.63,49.33,84,131.3,31.06,9.79,2.48,1.67
Z641,82.54,18,232,0.79,26.77,47.67,84,124.3,31.52,10.03,2.47,1.77
Z642,63.14,17,197.3,0.81,25.03,54.67,77,121.3,28.56,9.54,2.5,1.8
Z643,65.27,19,187.2,0.79,24.75,47.33,78,116.3,27.38,9.35,2.48,1.73
Z644,57.72,14,208.1,0.79,27.97,48.67,80,123.3,30.28,10.21,2.71,1.83
Z645,48.37,17,162.5,0.71,26.1,23,64,100,24.68,9.83,2.47,1.5
Z646,57.27,20,152.7,0.75,26.07,27.33,66,104,22.2,8.79,2.62,1.5
Z647,45.6,15,170.5,0.78,24.63,29.33,66,105.3,26.84,9.96,2.47,1.3
Z648,36.44,14,146.6,0.75,24.68,29.67,64,99,24.74,9.63,2.51,1.5
Z649,46.26,12,181.6,0.87,25.78,27.67,65,95,23.78,8.77,2.69,1.5
Z650,67.05,14,220.4,0.82,29.83,43.67,86,125.3,26.9,8.53,3.07,2
Z651,65.7,13,233.4,0.81,29.23,36,86,121.3,26.36,8.55,3.02,1.87
Z652,50.63,16,164.5,0.81,25.92,26.33,63,99.7,25.72,9.81,2.47,1.47
Z653,63.95,13,195.7,0.89,30.12,42.33,85,118.3,28.6,8.82,2.96,1.7
Z654,84.44,19,222.2,0.77,27.57,39.67,91,122.3,27.32,9.48,2.52,2
Z655,45.31,12,168.8,0.79,29.68,40,84,122.7,25.58,8.55,3.07,1.9
Z656,53.94,12,228.8,0.8,25.72,46,88,125.7,26.64,8.45,2.86,1.87
Z657,58.4,13,185.7,0.84,31.13,51,87,117.3,28.1,10.07,2.67,1.73
Z658,38.43,15,187.7,0.59,25.12,40,65,107.3,27.96,9.92,2.5,1.5
Z659,77.68,17,184.6,0.85,31.9,40,87,121.7,27.2,10.17,2.71,1.87
Z660,44.16,15,187.8,0.75,22.38,32.67,61,103.7,23.14,8.6,2.59,1.83
Z661,77.83,21,186.6,0.85,25.5,39,78,119,25.14,9.33,2.57,1.97
Z662,7.41,6,231.8,0.26,24.15,36.33,82,79,24.93,9.59,2.63,1.77
Z663,51.37,19,152.7,0.78,24.97,29.67,64,103.3,22.1,9.66,2.6,1.5
Z664,68.5,14,208,0.84,30.63,43.67,80,117.3,27.04,9.81,2.61,1.9
Z665,74.97,12,296.3,0.8,29.93,51.33,80,116.3,29.06,9.65,2.71,2.07
Z666,46.07,15,152.9,0.8,26.08,37.67,55,96.7,23.56,9.89,2.42,1.77
Z667,56.8,13,260.8,0.77,22.48,35.67,78,112.7,27.72,8.82,2.46,1.93
Z668,65.45,14,242.8,0.74,26.35,31.33,78,111.7,29.98,9.66,2.52,1.57
Z669,50.56,17,184.3,0.67,25.55,31.33,62,90.7,26.04,9.98,2.42,1.57
Z670,60.74,12,234.8,0.87,26.92,39.33,80,113.3,26.22,8.82,2.72,1.83
Z671,47.42,15,144.7,0.86,26.57,28.67,59,92.3,23.9,9.63,2.52,1.6
Z672,31.87,11,175,0.6,28.03,24.33,90,107.7,18.94,7.14,3.35,1.9
Z673,43.43,9,202.1,0.89,27.27,29.33,90,103.3,20.1,7.23,3.18,1.87
Z674,27.01,11,158.7,0.55,28.27,28.33,90,107.7,18.96,7,3.31,1.97
Z676,62.17,16,192.1,0.75,29.42,36.67,81,114.3,26.64,9.68,2.78,1.7
Z677,42.6,11,201.5,0.7,29.5,41.33,86,127.7,25.7,10.5,2.53,2.3
Z678,48.27,14,148.9,0.81,30.72,31.33,90,121.7,25.82,10.03,2.57,2
Z679,55.55,16,196.9,0.68,27.8,51.67,87,126,27.3,10.37,2.52,2.2
Z680,42.27,13,132.6,0.83,32.45,32,89,114,23.08,9.87,2.73,2
Z681,47.73,14,184.4,0.74,25.93,36,90,119.3,24.54,9.27,2.48,1.87
Z682,57.92,15,208.8,0.7,27.48,40.33,85,118.3,26.22,10.22,2.5,1.87
Z683,56.23,13,239.6,0.82,24.22,35.67,90,126,26.4,8.83,2.47,2.1
Z685,57.89,12,215.1,0.81,29.88,39,88,124,27.02,9.08,2.91,1.93
Z686,54.11,14,154.8,0.88,31.27,43.33,87,116.7,24.68,9.08,2.97,2.07
Z687,88.14,17,237.2,0.81,28.92,39.33,89,124,27.84,9.02,2.82,2.07
Z688,76.17,20,191,0.71,29.33,43.67,88,120.7,26.96,10.32,2.51,1.9
Z689,52.2,14,175.4,0.68,32.2,31.33,88,116,26.24,10.03,2.73,1.9
Z690,54.68,11,233.5,0.77,29.6,44,85,116.7,25.52,9.76,2.67,2
Z691,67.09,14,226.4,0.79,29.52,42.67,89,125.3,25.16,8.79,2.92,2.1
Z692,41.54,13,189.5,0.63,27.75,29,86,101.7,20.58,7.22,3.21,1.87
Z693,36.75,13,161.8,0.8,25.92,29.67,74,98.3,21.74,7.58,3.21,1.67
Z695,55.27,13,204,0.89,26.47,32,76,103.3,21.28,7.57,3.23,1.73
Z696,30.88,10,190.7,0.72,25.27,30,72,91.3,18.4,7.87,3.06,1.77
Z697,46.06,10,298.4,0.68,25.4,34,75,111.3,24.66,7.69,3.22,1.8
Z698,38.81,14,226.6,0.46,26.7,37.67,86,121,24.96,8.42,2.84,2.17
Z699,59.71,14,207.4,0.83,27.6,33,89,121.7,26.4,8.54,2.92,1.87
Z700,51.13,13,203.8,0.78,26.93,34.33,88,120.7,26.84,9.51,2.57,2
Z701,59.63,13,229.2,0.76,27.92,39,86,122,26.94,9.62,2.65,2
Z702,70.3,17,191.8,0.8,28.53,37.67,92,120.3,25.04,8.89,2.8,2
Z704,58.73,13,165.2,0.87,34.2,33,91,117.7,24.9,10.11,2.81,2.07
Z705,56.16,12,187.8,0.88,29.93,32.67,84,129.3,25.68,9.53,2.64,1.87
Z706,65.67,13,219.2,0.83,30.12,39,88,119.3,26.18,8.93,2.94,2
Z707,39.14,9,193.1,0.83,28.35,25.33,88,107.8,18.72,7.14,3.28,1.8
Z708,25.53,8,157.8,0.86,24.27,35,64,111,25.76,8.36,2.72,1.57
Z709,51.04,10,226.7,0.91,26.73,39,65,107.7,27.26,8.04,3.02,2
Z710,42.63,12,178.1,0.87,24.32,37.67,69,121,27.52,8.16,2.86,1.67
Z711,22.19,7,195.1,0.73,24.07,26,64,91,18.46,7.73,2.95,2
Z712,27.31,10,145.9,0.77,25.4,30,62,98,24.58,7.73,3.09,1.67
Z713,21.68,8,121.5,0.8,29.28,38.67,62,97.3,24.02,7.99,3.22,1.93
Z714,27.72,8,179.9,0.77,25.95,27.67,63,89.3,20.78,7.49,3.15,2
Z715,34.49,8,262.3,0.62,27.35,28.67,69,105.7,22.44,7.84,3.16,2
Z716,31.43,11,128.1,0.87,26.35,28.33,64,96,26.82,7.98,3.11,1.23
Z717,30.61,7,228,0.75,27.73,41.33,77,116,30.26,8.43,3,2.27
Z718,29.58,9,175.8,0.69,28.1,29,69,102.7,21.28,7.94,3.19,1.87
Z719,80.15,18,218.8,0.9,23.67,37.5,94,123,24.18,7.81,2.86,1.7
Z720,66.06,16,211.5,0.83,24.4,36.33,73,117.7,26.16,8.09,2.9,1.87
Z721,54.41,13,176.4,0.82,30.27,41.67,86,125.7,25.22,8.72,3.12,2
Z722,75.49,17,189.4,0.84,30.02,43,86,124,28.54,8.9,2.92,1.9
Z723,23.22,8,124.8,0.82,28.98,31.67,62,91,26.42,7.89,3.5,1.63
Z724,27.46,11,147.6,0.82,22.95,24.5,70,91.5,19.64,7.78,3.15,1.8
Z725,73.76,19,219.3,0.76,25.4,49.67,79,118,30.1,9.86,2.54,1.73
Z726,56.93,14,200.1,0.73,30.75,43,81,125.3,28.9,10.53,2.64,1.87
Z727,50.95,10,255.2,0.72,29.58,35,85,133.3,26.96,10.54,2.58,2.27
Z728,58.14,15,211.7,0.66,28.1,45,86,123.3,28.78,10.47,2.51,2.03
Z729,56.45,15,195.1,0.74,28.88,42.33,76,127,29.4,9.83,2.65,2
Z730,59.71,13,229.4,0.7,32.32,40.67,86,122.7,29.18,9.75,2.85,2.13
Z731,79.91,16,202.9,0.86,29.88,43.33,80,129.7,30.86,10.46,2.62,1.87
Z732,71.08,18,182.4,0.83,29.25,55,79,126.7,31.22,10.53,2.63,1.67
Z733,61.41,13,214.8,0.72,32.72,43.67,81,132.7,33.26,10.63,2.67,2
Z734,62.29,20,142.1,0.71,33.67,39.67,81,134.3,29.48,10.57,2.88,1.87
Z735,75.6,19,214,0.72,26.65,49,76,128.3,27.94,9.63,2.57,1.77
Z736,53.4,10,235,0.74,31.72,51.33,78,129,31.66,11.1,2.51,1.9
Z737,41.84,14,179.9,0.66,27.92,38.67,74,127,28.76,9.79,2.52,1.73
Z738,59.37,13,232.1,0.78,27.87,44.67,89,128,30.54,9.72,2.67,2.3
Z739,48.15,15,194.1,0.65,27.73,51.33,81,126,31.7,10.08,2.61,2.1
Z740,58.13,15,172,0.73,34.57,32.67,86,128.7,28.34,9.93,2.87,1.93
Z741,64.59,16,187.8,0.74,32.1,38.33,85,122.3,29.16,11.14,2.6,2
Z742,44.5,10,181.7,0.87,31.52,47,81,137.3,30.04,10.8,2.66,1.77
Z743,40.64,16,202.2,0.67,30.72,41.67,80,126.3,27.96,10.07,2.72,2.03
Z744,82.92,17,201.9,0.87,31.17,53,81,127.3,31.32,10.68,2.67,1.7
Z745,61.6,13,256.5,0.69,29.42,49.67,84,121.3,31.74,10.18,2.64,1.93
Z746,62.14,17,179.7,0.7,30.9,41.33,85,134.7,32.32,10.4,2.68,1.93
Z747,65.31,13,200.5,0.82,32.82,42.67,81,122.3,29.98,10.04,2.79,2
Z748,44.61,11,209.3,0.77,28.65,40.67,77,118,26.48,9.25,2.89,1.97
Z750,55.45,12,241.5,0.75,26.6,33.33,87,123,31.4,8.88,2.96,2.13
Z751,44.9,17,184.6,0.71,21.5,28.33,128,90.3,23.5,7.93,2.72,1.93
Z753,50.42,12,164.4,0.87,31.58,44.33,78,122.3,26.58,9.4,2.98,2.07
Z754,61.48,16,198.3,0.73,28.37,41,80,127.3,26.5,8.83,2.94,2.07
Z756,36.44,13,216.5,0.56,24.8,34.67,129,91.3,22.18,8.25,2.93,1.9
Z757,36.75,15,195.5,0.52,24.65,38,129,95.7,21.84,8.17,2.99,2.07
Z758,61.12,14,244.9,0.67,29.2,32,78,113.3,29.84,11.08,2.53,1.47
Z759,52.99,11,216.4,0.79,29.22,36.33,91,116.7,24.62,9.12,2.75,1.77
Z760,68.38,21,206.1,0.64,27.47,32,87,122,26.7,9.57,2.71,2.03
Z761,113.21,21,315.3,0.81,22.75,41,88,122,25.54,8.97,2.41,2
Z762,78.89,18,256,0.72,25.35,39,89,123,31.64,9.51,2.46,2
Z763,46.51,13,198,0.61,31.93,42.67,81,118.3,28.56,8.77,3.19,2.1
Z764,79.9,16,242.4,0.84,26.63,38.67,81,123.7,24.76,8.62,2.93,2
Z765,66.39,11,258.8,0.79,31.73,50.33,81,114,28.3,10.63,2.72,2
Z766,78.88,15,238.1,0.79,31.2,49,80,117,26.88,10.52,2.65,2.03
Z767,66.32,18,212.8,0.7,25.97,40,87,118.3,25,9.52,2.54,1.9
Z768,57.64,13,258.2,0.7,26.4,40.67,80,116,25.66,9.82,2.65,1.93
Z769,51.9,18,181.3,0.63,27.4,43.67,77,114,27.86,9.7,2.63,1.8
Z770,70.46,18,221.7,0.79,23.77,43.33,84,119.3,27.44,8.67,2.59,1.87
Z771,64.35,17,232.3,0.65,27.47,52.67,87,129.7,28.32,9.69,2.6,1.93
Z772,56.57,10,315.8,0.82,24.2,47.67,85,130,31.32,8.54,2.64,2.03
Z773,59.94,13,277.6,0.65,28.02,42.33,87,120.3,32.04,10.23,2.65,1.93
Z774,51.52,13,185.5,0.75,30.87,53.67,84,129.3,29.32,10.69,2.61,1.77
Z775,51.33,13,214.8,0.73,27.37,46.67,86,132.3,30.96,10.47,2.59,1.8
Z776,69.89,12,262.5,0.79,31.42,51,85,136.3,33.72,10.96,2.66,2.1
Z777,41.49,12,187.5,0.65,31.07,41.33,84,124.3,26.82,9.54,2.82,2.07
Z778,70.32,19,185.6,0.81,27.12,41,74,115,29.56,10.12,2.55,1.87
Z779,59.47,14,183.5,0.79,31.03,40,86,117.3,29.28,9.91,2.75,2.13
Z780,71.8,15,205.3,0.86,29.97,44.67,81,124,31.86,9.82,2.68,1.93
Z781,72.55,13,232,0.84,29.65,47.67,88,126.3,28.72,8.79,2.93,2.37
Z782,59.11,16,181.4,0.77,29.48,44.33,81,120.3,28.9,10.29,2.6,2.17
Z783,64.8,17,201.2,0.72,29.27,57.67,81,132.7,28.1,9.99,2.67,1.93
Z784,43.6,11,183.5,0.8,30.98,44.33,81,136,28,9.25,3.02,2.13
Z785,51.5,13,182.3,0.8,28.42,38.67,81,127,29.5,9.05,2.94,2.23
Z786,48.88,11,188.1,0.75,34.28,39.33,88,132.7,29,10.25,2.88,2.37
Z787,55.1,11,208.4,0.83,31.9,36.33,86,130.3,28,10.04,2.7,2.03
Z788,67.31,15,218.3,0.72,30.63,41,89,132.7,28.6,8.7,3.13,2.4
Z789,43.17,12,202.6,0.65,30.68,46.67,88,129.7,26.82,8.93,3.28,2.5
Z790,39.3,10,209.7,0.72,29.17,46,84,127.7,27.78,9.05,2.91,2.07
Z791,35.71,9,222.9,0.68,29.35,40.33,85,132,26.42,10.46,2.51,2.4
Z792,53.06,12,201.3,0.77,30.75,47,89,133.7,29.46,8.67,3.11,2.33
Z793,56.24,13,186.1,0.74,32.73,46.67,86,131.3,31.18,8.97,3.25,2.3
Z794,48.7,13,149.3,0.81,34.2,42.33,84,136.3,30.52,10.61,2.9,2
Z795,69.75,15,212.7,0.81,30.33,51,87,133.7,29.56,8.91,3.03,2.23
Z796,58.78,15,156.1,0.88,31.93,44.67,91,127,27.42,9.83,2.78,1.87
Z797,65.97,16,203.1,0.8,28.25,50.67,88,131.3,30.3,9.06,2.9,2.27
Z798,46.89,17,141.8,0.75,29.13,47,77,125.3,28.78,9.69,2.75,2.23
Z799,55.33,12,194.2,0.82,30.93,42.33,90,124,30.72,9.66,2.77,2.23
Z800,52.82,16,154.1,0.78,30.93,55,85,128,29.78,9.5,2.9,2.13
Z802,68.45,13,169.4,0.89,35.92,47.33,87,126.7,33.12,10.66,2.91,2.13
Z803,55.08,12,192.6,0.78,32.55,53.67,88,126.3,31.6,10.1,2.73,2.2
Z804,56.4,15,152.5,0.71,36.07,51.33,86,131.7,32.96,10.74,2.87,2.07
Z805,65.52,16,186.3,0.75,31.98,47.33,86,129.3,29.66,10.19,2.89,2.27
Z806,49.94,14,195.3,0.61,34.33,48.67,80,135,27.72,9.99,2.99,2.37
Z807,52.82,15,196.9,0.67,29.63,41.33,80,128.3,29.08,10.04,2.62,2.07
Z808,53.9,17,156.1,0.71,30.65,40.33,80,128.7,28.7,11.03,2.84,2.07
Z809,32.46,12,168.5,0.63,30.05,42.33,79,121.7,26.02,10.56,2.62,2.03
Z810,68.42,15,185.9,0.83,30.68,52.67,90,129.3,28.88,9.45,2.84,2.07
Z811,50.22,14,180.1,0.81,32.33,50,81,127.7,29.9,10.64,2.67,1.83
Z812,71.96,15,203.2,0.77,33.23,50,81,137,32.16,10.49,2.75,2.2
Z813,75.78,14,258.8,0.78,29.3,55.67,87,123.3,27.78,9.06,2.86,2.2
Z814,40.88,10,190.4,0.76,30.12,38.67,84,136.7,31.44,10.69,2.57,1.73
Z815,64.33,16,177.9,0.8,30.58,45.67,84,129,30.82,10.77,2.63,1.83
Z816,46.29,12,166.3,0.82,30.67,36.67,91,132,25.08,8.66,3.11,2.27
Z817,56.05,12,194.2,0.79,33.17,36.67,84,129.7,27.1,10.38,2.77,2
Z818,34.88,11,140,0.79,32.02,45.67,86,123.3,26,9.06,3.09,2.03
Z819,40.55,11,196.5,0.75,28.3,42.33,81,118,26.22,9.25,2.79,1.93
Z820,53.24,13,178.4,0.8,30.92,43,84,120,29.52,9.16,2.97,2.03
Z821,43.65,11,176.1,0.77,32.2,45,87,128.7,26.08,8.87,3.19,2.27
Z822,31.36,17,132.8,0.58,26.63,43.33,77,119.3,25.62,8.79,2.87,1.7
Z823,53.91,17,183,0.75,24.92,47.33,78,121.7,27.96,8.44,2.79,1.73
Z824,23.13,10,175.9,0.56,27.13,42,87,124.3,25.94,9.5,2.65,1.93
Z825,52.13,13,171.1,0.88,29.28,41.33,87,128.7,27.8,8.71,2.97,2.23
Z826,35.53,13,138.5,0.69,31.25,32,72,115.3,23.14,8.72,3.2,1.6
Z827,51.05,14,192.4,0.82,25.32,44.33,84,116.7,28.32,9.23,2.46,1.67
Z828,24.84,13,130,0.59,26.5,43.67,75,125,27.06,9.87,2.43,1.73
Z829,42.58,13,176.4,0.79,26.6,36.33,86,120.7,27.4,9.45,2.47,1.73
Z830,48.27,12,196.8,0.74,30.02,49,85,133.3,28.6,8.92,2.96,2.03
Z831,48.62,14,160.6,0.71,31.72,45,85,120.7,28.66,10.64,2.56,1.87
Z832,46.46,12,159.8,0.82,31.47,39,87,119.7,26.78,9.41,2.86,1.93
Z833,49.26,15,134.7,0.87,30.22,41.33,78,119.3,27.88,9.61,2.76,1.83
Z834,55.58,14,176.3,0.79,31.05,39.67,74,110.3,27.52,10.48,2.71,1.7
Z835,57.45,12,221.4,0.79,30.17,43.33,78,121.7,29.18,10.18,2.58,1.8
Z836,44.87,15,179,0.69,26.42,43.33,79,123.3,29.26,8.82,2.8,1.93
Z837,43.22,13,178.6,0.78,26.13,43.67,80,122.7,31.16,10.15,2.49,1.83
Z838,46.14,11,156.5,0.85,34.27,42.67,84,128.3,30.74,10.87,2.78,1.83
Z839,47.61,13,187.3,0.69,31.02,40.67,87,126,28.36,10.34,2.65,1.8
Z840,46.64,13,188.2,0.68,30.83,44.67,62,123,30.2,9.81,2.67,2
Z841,44.1,15,134.1,0.79,30.77,38.67,77,121.3,27.04,10.03,2.71,1.9
Z842,39.06,14,185.9,0.53,32.1,42.33,83,123.7,28.06,9.61,3,1.8
Z843,55.69,18,154.6,0.74,28.63,40.33,74,110.7,26.58,9.88,2.49,1.8
Z844,43.78,14,144.7,0.78,30.02,37.33,84,119.7,28.88,9.56,2.7,1.83
Z845,49.09,10,230.1,0.75,30.02,38.67,83,120.3,29.4,8.95,2.93,1.97
Z846,41.91,13,164.8,0.66,32.45,40,79,134.7,30.02,10.31,2.77,2.1
Z847,48.42,16,163,0.73,29.13,40.67,87,128,30.4,10.25,2.58,1.77
Z848,46.64,13,201.2,0.61,31.25,42.33,81,128,30.14,10.61,2.58,1.87
Z849,44.51,12,165.8,0.78,31.23,40.33,87,126.7,26.66,8.86,3.01,2.17
Z850,43.32,10,172.4,0.87,34.53,44.33,86,129,30.92,9.86,2.9,2.1
Z851,49.51,13,194.8,0.73,30.28,39.67,84,136,28.96,8.82,3.03,1.97
Z852,54.5,14,174.9,0.77,33.12,38,86,133.3,29.24,9.75,2.89,2.03
Z853,34.02,11,136.7,0.73,33.57,40.67,86,130.7,28.08,9.89,2.85,1.93
Z854,37.94,11,197,0.71,26.7,31.67,89,135.7,25.74,8.58,2.86,2
Z855,39.5,12,177.3,0.73,28.03,43.33,88,120.7,28.24,8.45,3.02,1.97
Z856,34.63,11,166.9,0.66,30.58,37,84,130,26.8,9.21,2.97,2
Z857,44.6,11,243.7,0.69,26.12,38.67,87,125.3,28.48,8.44,2.95,2.2
Z858,54.73,14,175.1,0.77,31.92,39,85,137.7,31.12,10.72,2.74,2
Z859,42.24,11,163.9,0.76,34.22,41.33,86,129,31.18,10.62,2.75,2
Z860,35.44,10,164.7,0.75,30.08,39.33,87,125.7,28.06,8.94,2.99,1.9
Z861,47.51,11,218.8,0.69,31.17,36.67,85,125.7,30.18,10.09,2.73,1.9
Z862,43.49,11,211.7,0.69,30.38,37,84,133.3,31.3,9.97,2.76,1.9
Z863,49.79,9,220.7,0.78,35.2,42.67,80,126,34.88,10.52,2.83,1.83
Z864,40.58,13,143.5,0.76,30.87,36.67,84,134,30.74,9.42,2.9,1.8
Z865,61.21,14,253.6,0.7,25.35,41,84,140,28.2,8.75,2.68,2.07
Z866,32.91,10,181.8,0.67,28.68,36.67,84,137.7,30.34,9.35,2.81,1.9
Z867,46.62,12,198.3,0.77,28.17,38.33,84,122,30.26,9.18,2.73,1.97
Z868,42.73,12,155.9,0.75,32.8,36.33,85,135.7,31.42,10.65,2.68,1.77
Z869,43.19,16,106.9,0.84,31.95,34.67,78,130.7,28.7,10.21,2.75,1.77
Z870,43.64,11,153,0.85,32.72,34.33,86,135.3,27.6,10.4,2.77,1.73
Z871,43.27,14,160.9,0.71,30.35,46.67,84,118.3,28.74,10.58,2.6,1.97
Z872,36.55,11,155.7,0.67,35.23,41,87,134.3,30.02,10.59,2.82,1.9
Z873,66.84,17,170.4,0.85,30.03,47,84,129,28.74,10.57,2.5,1.77
Z874,46.72,13,147.8,0.78,34.53,40.33,82,125.7,28.94,10.82,2.77,1.93
Z875,42.11,10,165.6,0.9,30.97,38.33,91,120.7,23.8,9.42,2.82,2.13
Z876,56.98,14,174.4,0.76,32.9,41,90,123,27.7,10.09,2.76,2.03
Z877,49.91,10,207.6,0.79,32.65,42.33,91,128,27.42,10.26,2.68,2.03
Z878,52.5,11,204.2,0.76,33.22,39,86,128.3,32.18,9.78,2.92,2.03
Z879,45.69,13,161.8,0.79,30.18,38.33,86,130,29.2,8.99,2.98,2
Z880,55.07,12,215.7,0.76,31.03,48,84,126.7,29.76,10.17,2.74,1.93
Z881,53.51,11,225.6,0.8,29.88,38,85,126,27.34,9.82,2.6,1.97
Z882,39.9,10,129.7,0.88,36.38,36,78,132.7,28.86,10.39,2.98,1.83
Z883,51.49,11,222.3,0.74,30.87,41,87,134.3,31.22,9.84,2.7,2
Z884,53.47,13,166.2,0.75,36,38,85,128,31.78,11.17,2.82,1.87
Z885,58.53,15,178.3,0.74,32.08,42,78,120.3,29.3,10.66,2.65,1.73
Z886,46.95,14,174,0.73,28,36.33,84,131.3,28.38,9.18,2.74,2.03
Z887,46.26,14,144.9,0.79,32.3,38.33,84,121.3,24.8,9.04,3.16,2
Z889,35.63,9,210.8,0.63,31.38,40.33,87,125.3,28.32,8.6,3.2,1.97
Z890,31.18,11,161.6,0.74,24.82,25.33,62,102,23.38,9.35,2.52,1.6
Z891,49.12,13,154.3,0.78,33.82,42.33,86,116.7,26.52,10.7,2.77,1.87
Z892,35.46,11,162.5,0.83,26.07,25,65,108,24.5,9.5,2.45,1.7
Z893,42.36,15,164.1,0.77,22.97,20.33,58,102,21.54,9.44,2.36,1.47
Z894,45.63,11,189.7,0.77,31.23,51,81,123,29.22,10.39,2.57,1.77
Z895,39.7,13,183.4,0.7,25.65,37.67,81,112.3,22.54,9.38,2.75,2
Z896,42.46,14,163,0.72,27.82,34,77,111,25.16,9.55,2.63,1.83
Z897,39.18,13,141.8,0.77,28.92,34.67,74,106,23.04,9.94,2.63,1.63
Z898,52.37,20,136.7,0.76,27.2,34.33,77,107,23.7,9.13,2.66,1.87
Z899,35.6,12,184.9,0.7,23.65,35.33,62,111.3,25.2,8.98,2.58,1.77
Z900,34.83,11,157.8,0.81,25.83,28.33,70,107,25.24,9.28,2.53,1.67
Z901,32.9,10,164.8,0.78,26.68,37.67,71,105.7,25.24,9.29,2.57,1.77
Z902,39.95,12,165.3,0.78,28.15,35.83,84,113,27.56,9.72,2.62,1.8
Z903,57.81,14,179.9,0.84,29.08,38.67,80,111,26.5,9.85,2.7,1.83
Z904,48.79,11,199.6,0.85,28.75,50.33,79,119.3,28.06,9.83,2.63,1.83
Z905,48.31,11,179.3,0.94,28.87,39.33,80,119,27.04,10.19,2.48,1.7
Z906,60.8,15,184.5,0.93,25.2,38.83,91,122.7,27.52,9.41,2.5,1.9
Z907,42.87,11,200.5,0.75,28.7,49.67,75,119.3,28.62,10.26,2.57,1.77
Z908,47.93,11,198.9,0.8,30.35,49.67,84,127,30.86,10.66,2.63,1.73
Z909,36.13,12,145.7,0.81,26.28,25.67,61,105.3,24.52,9.57,2.45,1.73
Z910,24.74,9,165,0.74,23.45,36.33,65,111.7,27.22,10.02,2.45,1.63
Z911,53.65,14,164.9,0.87,28.58,42,84,123.7,26.62,8.84,2.87,1.93
Z912,38.14,14,140.4,0.67,30.53,31.5,79,115.3,23.26,10.3,2.76,1.83
Z913,53.07,15,166.9,0.77,29.28,41.67,87,105,25.9,9.85,2.72,1.87
Z914,65.54,22,170.5,0.74,25.08,35.33,86,105.7,25.18,9.49,2.45,1.67
